design_sku,design_name,description
AF101,Small Sequins - Copper,This glitzy wallcovering features shimmering sequins and metallic threads.
AF102,Small Sequins - Gold,This glitzy wallcovering features shimmering sequins and metallic threads.
AF103,Mixed Sequins - Gold,"This sparkly, textural wallcovering features large and small sequins in a array of colors."
AF104,Mixed Sequins - Steel,"This sparkly, textural wallcovering features large and small sequins in a array of colors."
AF105,Mixed Sequins - Lavender,"This sparkly, textural wallcovering features large and small sequins in a array of colors."
AF106,Mixed Sequins - Magenta,"This sparkly, textural wallcovering features large and small sequins in a array of colors."
AF107,Mixed Sequins - Pink,"This sparkly, textural wallcovering features large and small sequins in a array of colors."
AF108,Mixed Sequins - Silver,"This sparkly, textural wallcovering features large and small sequins in a array of colors."
AF109,Mixed Sequins - Aqua,"This sparkly, textural wallcovering features large and small sequins in a array of colors."
AF110,Woven Sequins - Purple,This glitzy wallcovering features shimmering sequins and metallic threads.
AF111,Woven Sequins - Black / Copper,This glitzy wallcovering features shimmering sequins and metallic threads.
AF112,Woven Sequins - Blue / Silver,This glitzy wallcovering features shimmering sequins and metallic threads.
AF113,Large Sequins - Black,"This flashy wallcovering features large, mirror-like sequins for an imapctful statement."
AF114,Large Sequins - Grey,"This flashy wallcovering features large, mirror-like sequins for an imapctful statement."
AF115,Large Sequins - Silver,"This flashy wallcovering features large, mirror-like sequins for an imapctful statement."
AF116,Large Sequins - White,"This flashy wallcovering features large, mirror-like sequins for an imapctful statement."
AF117,Large Sequins - Pink,"This flashy wallcovering features large, mirror-like sequins for an imapctful statement."
AF118,Large Sequins - Red,"This flashy wallcovering features large, mirror-like sequins for an imapctful statement."
AF119,Large Sequins - Orange,"This flashy wallcovering features large, mirror-like sequins for an imapctful statement."
AF120,Large Sequins - Copper,"This flashy wallcovering features large, mirror-like sequins for an imapctful statement."
AF121,Large Sequins - Gold,"This flashy wallcovering features large, mirror-like sequins for an imapctful statement."
AF122,Large Sequins - Green,"This flashy wallcovering features large, mirror-like sequins for an imapctful statement."
AF123,Large Sequins - Blue,"This flashy wallcovering features large, mirror-like sequins for an imapctful statement."
AF124,Large Sequins - Cobalt,"This flashy wallcovering features large, mirror-like sequins for an imapctful statement."