design_sku,price,sale_unit,sale_quantity,minimum_quantity
NL501,780.00,Roll,1,1
NL502,820.00,Roll,1,1
NL503,850.00,Roll,1,1
NL504,223.20,Roll,1,1
NL505,223.20,Roll,1,1
NL506,215.20,Roll,1,1
NL507,231.20,Roll,1,1
NL508,780.00,Roll,1,1
NL509,409.00,Roll,1,1
NL510,429.00,Roll,1,1
NL511,289.00,Roll,1,1
NL512,399.00,Roll,1,1
NL513,389.00,Roll,1,1
NL514,359.00,Roll,1,1
NL515,379.00,Roll,1,1
NL516,379.00,Roll,1,1
NL517,343.20,Roll,1,1
NL518,449.00,Roll,1,1
NL519,449.00,Roll,1,1
NL520,429.00,Roll,1,1
NL521,379.00,Roll,1,1
NL522,429.00,Roll,1,1
NL523,409.00,Roll,1,1
NL524,449.00,Roll,1,1
NL525,449.00,Roll,1,1
NL526,399.00,Roll,1,1
NL527,399.00,Roll,1,1
NL528,399.00,Roll,1,1
NL529,399.00,Roll,1,1
NL530,569.00,Roll,1,1
NL531,359.00,Roll,1,1
NL532,429.00,Roll,1,1
NL533,389.00,Roll,1,1
NL534,439.00,Roll,1,1
NL535,419.00,Roll,1,1
NL536,359.00,Roll,1,1
NL537,359.00,Roll,1,1
NL538,399.00,Roll,1,1
NL539,399.00,Roll,1,1
NL540,399.00,Roll,1,1