sku,weight
AD420-1,0.13
AD420-2,0.15
AD420-3,0.13
AD421-1,0.13
AD421-2,0.15
AD421-3,0.13
AD422-1,0.13
AD422-2,0.15
AD422-3,0.15
AD423-1,0.13
AD423-2,0.13
AD423-3,0.13
AD424-1,0.13
AD424-2,0.15
AD424-3,0.13
AD425-1,0.13
AD425-2,0.13
AD425-3,0.13
AD426-1,0.13
AD426-2,0.13
AD426-3,0.13
AD427-1,0.13
AD427-2,0.13
AD427-3,0.13
AD428-1,0.13
AD428-2,0.15
AD428-3,0.15
AD429-1,0.13
AD429-2,0.13
AD429-3,0.13
AD073-1,0.13
AD073-2,0.13
AD073-3,0.13
AD380-1,0.13
AD380-2,0.13
AD380-3,0.13
AD443-1,0.13
AD443-2,0.13
AD443-3,0.13
AD445-1,0.13
AD445-2,0.13
AD445-3,0.13
AD446-1,0.13
AD446-2,0.13
AD446-3,0.15
AD447-1,0.13
AD447-2,0.13
AD447-3,0.13
AD448-1,0.15
AD448-2,0.15
AD448-3,0.15
AD449-1,0.15
AD449-2,0.15
AD449-3,0.15
AD450-1,0.15
AD450-2,0.15
AD450-3,0.15
AD451-1,0.15
AD451-2,0.15
AD451-3,0.15
AD452-1,0.15
AD452-2,0.15
AD452-3,0.15
AD453-1,0.13
AD453-2,0.13
AD453-3,0.13
AD454-1,0.15
AD454-2,0.15
AD454-3,0.15
AD339-1,0.15
AD339-2,0.15
AD339-3,0.15
AD340-1,0.15
AD340-2,0.15
AD340-3,0.15
AD341-1,0.15
AD341-2,0.15
AD341-3,0.15
AD342-1,0.15
AD342-2,0.15
AD342-3,0.15
AD343-1,0.15
AD343-2,0.15
AD343-3,0.15
AD344-1,0.15
AD344-2,0.15
AD344-3,0.15
AD345-1,0.15
AD345-2,0.15
AD345-3,0.15
AD200-1,0.15
AD200-2,0.15
AD200-3,0.15
AD201-1,0.15
AD201-2,0.15
AD201-3,0.15
AD202-1,0.15
AD202-2,0.15
AD202-3,0.15
AD203-1,0.15
AD203-2,0.15
AD203-3,0.15
AD204-1,0.15
AD204-2,0.15
AD204-3,0.15
AD205-1,0.15
AD205-2,0.15
AD205-3,0.15
AD206-1,0.15
AD206-2,0.15
AD206-3,0.15
AD252-1,0.16
AD252-2,0.16
AD252-3,0.16
AD253-1,0.15
AD253-2,0.15
AD253-3,0.15
AD254-1,0.15
AD254-2,0.15
AD254-3,0.15
AD255-1,0.15
AD255-2,0.15
AD255-3,0.15
AD256-1,0.15
AD256-2,0.15
AD256-3,0.15
AD257-1,0.15
AD257-2,0.15
AD257-3,0.15
AD258-1,0.15
AD258-2,0.15
AD258-3,0.15
AD259-1,0.15
AD259-2,0.15
AD259-3,0.15
AD300-1,0.15
AD300-2,0.15
AD300-3,0.15
AD301-1,0.15
AD301-2,0.15
AD301-3,0.15
AD302-1,0.15
AD302-2,0.15
AD302-3,0.15
AD321-1,0.15
AD321-2,0.15
AD321-3,0.15
AD322-1,0.15
AD322-2,0.15
AD322-3,0.15
AD323-1,0.15
AD323-2,0.15
AD323-3,0.15
AD324-1,0.15
AD324-2,0.15
AD324-3,0.15
AD325-1,0.15
AD325-2,0.15
AD325-3,0.15
AD326-1,0.15
AD326-2,0.15
AD326-3,0.15
AD327-1,0.15
AD327-2,0.15
AD327-3,0.15
AD024-1,0.15
AD024-2,0.15
AD024-3,0.15
AD030-1,0.15
AD030-2,0.15
AD030-3,0.16
AD031-1,0.15
AD031-2,0.15
AD031-3,0.15
AD037-1,0.15
AD037-2,0.15
AD037-3,0.15
AD038-1,0.16
AD038-2,0.16
AD038-3,0.16
AD090-1,0.16
AD090-2,0.16
AD090-3,0.16
AD091-1,0.15
AD091-2,0.15
AD091-3,0.15
AD092-1,0.15
AD092-2,0.15
AD092-3,0.15
JA107-1,0.15
JA107-2,0.15
JA107-3,0.15
JA107-4,0.15
JA107-5,0.15
JA107-6,0.15
JA107-7,0.15
JA107-8,0.15
JA108-1,0.15
JA108-2,0.15
JA108-3,0.15
JA108-4,0.15
JA108-5,0.15
JA108-6,0.15
JA108-7,0.15
JA108-8,0.15
JA109-1,0.15
JA109-2,0.15
JA109-3,0.15
JA109-4,0.15
JA109-5,0.15
JA109-6,0.15
JA109-7,0.15
JA109-8,0.15
JA110-1,0.15
JA110-2,0.15
JA110-3,0.15
JA110-4,0.15
JA110-5,0.15
JA110-6,0.15
JA110-7,0.15
JA110-8,0.15
JA111-1,0.15
JA111-2,0.15
JA111-3,0.15
JA111-4,0.15
JA111-5,0.15
JA111-6,0.15
JA112-1,0.15
JA112-2,0.15
JA112-3,0.15
JA112-4,0.15
JA112-5,0.15
JA112-6,0.15
JA113-1,0.15
JA113-2,0.15
JA113-3,0.15
JA113-4,0.15
JA113-5,0.15
JA113-6,0.15
JA113-7,0.15
JA113-8,0.15
JA114-1,0.15
JA114-2,0.15
JA114-3,0.15
JA114-4,0.15
JA114-5,0.15
JA114-6,0.15
JA114-7,0.15
JA114-8,0.15
AD389-1,0.16
AD389-2,0.16
AD389-3,0.16
AD390-1,0.15
AD390-2,0.15
AD390-3,0.15
AD391-1,0.16
AD391-2,0.16
AD391-3,0.16
AD392-1,0.15
AD392-2,0.15
AD392-3,0.15
AD393-1,0.16
AD393-2,0.16
AD393-3,0.16
AD394-1,0.16
AD394-2,0.16
AD394-3,0.16
AD395-1,0.15
AD395-2,0.15
AD395-3,0.15
AD303-1,0.15
AD303-2,0.15
AD303-3,0.15
AD304-1,0.15
AD304-2,0.15
AD304-3,0.15
AD305-1,0.15
AD305-2,0.15
AD305-3,0.15
AD306-1,0.15
AD306-2,0.15
AD306-3,0.15
AD307-1,0.15
AD307-2,0.15
AD307-3,0.15
AD308-1,0.15
AD308-2,0.15
AD308-3,0.15
AD121-1,0.15
AD122-1,0.15
AD123-1,0.15
AD124-1,0.15
AD125-1,0.15
AD126-1,0.15
AD127-1,0.15
AD128-1,0.15
AD129-1,0.15
AD130-1,0.15
AD131-1,0.15
AD132-1,0.15
AD133-1,0.15
AD134-1,0.15
AD135-1,0.15
AD211-1,0.15
AD211-2,0.15
AD211-3,0.15
AD213-1,0.15
AD213-2,0.15
AD213-3,0.15
AD347-1,0.15
AD347-2,0.15
AD347-3,0.15
AD348-1,0.15
AD348-2,0.15
AD348-3,0.15
AD350-1,0.15
AD350-2,0.15
AD350-3,0.15
AD351-1,0.15
AD351-2,0.15
AD351-3,0.15
AD352-1,0.15
AD352-2,0.15
AD352-3,0.15
AD353-1,0.15
AD353-2,0.15
AD353-3,0.15
AD355-1,0.15
AD355-2,0.15
AD355-3,0.15
AD356-1,0.15
AD356-2,0.15
AD356-3,0.15
AD365-1,0.15
AD365-2,0.15
AD365-3,0.15
AD366-1,0.15
AD366-2,0.15
AD366-3,0.15
AD367-1,0.15
AD367-2,0.15
AD367-3,0.15
AD368-1,0.15
AD368-2,0.15
AD368-3,0.15
AD369-1,0.15
AD369-2,0.15
AD369-3,0.15
AD370-1,0.15
AD370-2,0.15
AD370-3,0.15
AD371-1,0.15
AD371-2,0.15
AD371-3,0.15
AD372-1,0.15
AD372-2,0.15
AD372-3,0.15
AD494,0.15
AD495,0.15
AD496,0.15
AD497,0.15
AD498,0.15
AD499,0.15
AD500,0.15
AD501,0.15
AD502,0.16
AD503,0.15
AD504,0.15
AD505,0.15
AD506,0.15
AD507,0.15
AD509,0.15
AD510,0.15
AD511,0.15
AD512,0.15
AD513,0.15
AD514,0.15
AD515,0.15
AD516,0.15
AD517,0.16
AD518,0.16
AD519,0.15
AD520,0.15
AD521,0.15
AD522,0.15
AD523,0.15
AD524,0.15
AD525,0.15
AD526,0.15
AD527,0.15
AD528,0.15
AD529,0.15
AD530,0.15
AD531,0.15
AD532,0.15
AD533,0.15
AD534,0.15
AD535,0.15
AD536,0.15
AD537,0.15
AD538,0.15
AD539,0.15
AD540,0.15
AD541,0.15
AD542,0.15
AD543,0.15
AD544,0.15
AD545,0.15
AD546,0.15
AD547,0.15
AD548,0.15
AD549,0.15
AD550,0.15
AD551,0.15
AD552,0.15
AD553,0.15
AD554,0.15
AD555,0.15
AD556,0.15
AD557,0.15
AD558,0.15
AD559,0.15
AD560,0.15
AD561,0.16
AD080-1,0.13
AD080-2,0.13
AD080-3,0.13
AD081-1,0.16
AD081-2,0.16
AD081-3,0.16
AD082-1,0.13
AD082-2,0.13
AD082-3,0.13
AD083-2,0.13
AD083-3,0.13
AD083-4,0.13
AD084-1,0.15
AD084-2,0.15
AD084-3,0.15
AD085-1,0.15
AD085-2,0.15
AD085-3,0.15
AD086-1,0.17
AD086-2,0.17
AD086-3,0.17
AD087-1,0.15
AD087-2,0.15
AD087-3,0.15
AD088-1,0.15
AD088-2,0.15
AD088-3,0.15
AD089-1,0.16
AD089-2,0.16
AD089-3,0.16
AD210-1,0.15
AD210-2,0.15
AD210-3,0.15
AD212-1,0.17
AD212-2,0.17
AD212-3,0.17
AD214-1,0.15
AD214-2,0.15
AD214-3,0.15
AD215-1,0.15
AD215-2,0.15
AD215-3,0.15
AD216-1,0.15
AD216-2,0.15
AD216-3,0.15
AD217-1,0.15
AD217-2,0.15
AD217-3,0.15
AD218-1,0.15
AD218-2,0.15
AD218-3,0.15
AD219-1,0.15
AD219-2,0.15
AD219-3,0.15
FH100-1,0.13
FH100-2,0.13
FH100-3,0.13
FH101-1,0.13
FH101-2,0.13
FH101-3,0.13
FH102-1,0.13
FH102-2,0.13
FH102-3,0.13
FH102-4,0.13
FH103-1,0.13
FH103-2,0.13
FH103-3,0.13
FH103-4,0.13
FH104-1,0.13
FH104-2,0.13
FH104-3,0.13
FH104-4,0.13
FH105,0.13
FH106-1,0.13
FH106-2,0.13
FH106-3,0.13
FH106-4,0.13
FH107-1,0.13
FH107-2,0.13
FH107-3,0.13
FH108-1,0.13
FH108-2,0.13
FH108-3,0.13
FH108-4,0.13
FH108-5,0.13
FH109-1,0.13
FH109-2,0.13
FH109-3,0.13
FH109-4,0.13
FH110-1,0.13
FH110-2,0.13
FH110-3,0.13
FH111-1,0.13
FH111-2,0.13
FH111-3,0.13
FH112-1,0.13
FH112-2,0.13
FH112-3,0.13
FH112-4,0.13
FH112-5,0.13
KA100-1,0.13
KA100-2,0.13
KA100-3,0.13
KA101-1,0.13
KA101-2,0.13
KA101-3,0.13
KA102-1,0.13
KA102-2,0.13
KA102-3,0.13
KA103-1,0.13
KA103-2,0.13
KA103-3,0.13
KA104-1,0.13
KA104-2,0.13
KA104-3,0.13
KA105-1,0.13
KA105-2,0.13
KA105-3,0.13
KA106-1,0.13
KA106-2,0.13
KA106-3,0.13
KA107-1,0.13
KA107-2,0.13
KA107-3,0.13
KA108-1,0.13
KA108-2,0.13
KA108-3,0.13
KA109-1,0.13
KA109-2,0.13
KA109-3,0.13
KA110-1,0.13
KA110-2,0.13
KA110-3,0.13
KA111-1,0.13
KA111-2,0.13
KA111-3,0.13
JA100-1,0.15
JA100-2,0.15
JA100-3,0.15
JA100-4,0.15
JA100-5,0.15
JA100-6,0.15
JA101-1,0.15
JA101-2,0.15
JA101-3,0.15
JA101-4,0.15
JA101-5,0.15
JA101-6,0.13
JA101-7,0.13
JA101-8,0.13
JA101-9,0.15
JA102-1,0.15
JA102-2,0.15
JA102-3,0.15
JA102-4,0.15
JA102-5,0.15
JA102-6,0.15
JA103-1,0.15
JA103-2,0.15
JA103-3,0.15
JA103-4,0.15
JA103-5,0.15
JA103-6,0.15
JA104-1,0.15
JA104-2,0.15
JA104-3,0.15
JA104-4,0.15
JA104-5,0.15
JA104-6,0.15
JA105-1,0.15
JA105-2,0.15
JA105-3,0.15
JA105-4,0.15
JA105-5,0.15
JA105-6,0.15
JA106-1,0.13
JA106-2,0.13
JA106-3,0.13
JA106-4,0.17
JA106-5,0.17
JA106-6,0.17
AD330-1,0.15
AD330-2,0.15
AD330-3,0.15
AD331-1,0.15
AD331-2,0.15
AD331-3,0.15
AD332-1,0.15
AD332-2,0.15
AD332-3,0.15
AD333-1,0.15
AD333-2,0.15
AD333-3,0.15
AD334-1,0.15
AD334-2,0.15
AD334-3,0.15
AD335-1,0.16
AD335-2,0.16
AD335-3,0.16
AD336-1,0.16
AD336-2,0.16
AD336-3,0.16
AD337-1,0.15
AD337-2,0.15
AD337-3,0.15
AD338-2,0.15
AD338-1,0.15
AD338-3,0.15
FP181-1,0.15
FP182-1,0.15
FP183-1,0.15
FP184-1,0.15
FP185-1,0.15
FP186-1,0.15
FP187-1,0.15
FP188-1,0.15
FP100-1,0.15
FP100-2,0.15
FP100-3,0.15
FP101-1,0.15
FP101-2,0.15
FP101-3,0.15
FP102-1,0.15
FP103-1,0.15
FP104-1,0.15
FP104-2,0.15
FP105-1,0.15
FP106-1,0.15
FP107-1,0.15
FP108-1,0.15
FP109-1,0.15
FP109-2,0.15
FP109-3,0.15
FP110-1,0.15
FP111-1,0.15
FP112-1,0.15
FP113-1,0.15
FP114-1,0.15
FP115-1,0.15
FP116-1,0.15
FP117-1,0.15
FP118-1,0.15
FP118-2,0.15
FP119-1,0.15
FP119-2,0.15
FP120-1,0.15
FP121-1,0.15
FP122-1,0.15
FP123-1,0.15
FP124-1,0.15
FP125-1,0.15
FP126-1,0.15
FP127-1,0.15
FP128-1,0.15
FP129-1,0.15
FP130-1,0.15
FP131-1,0.15
FP132-1,0.15
FP133-1,0.15
FP146-1,0.15
FP147-1,0.15
FP148-1,0.15
FP149-1,0.15
FP150-1,0.15
FP151-1,0.15
FP152-1,0.15
FP153-1,0.15
FP175-1,0.15
FP176-1,0.15
FP177-1,0.15
FP178-1,0.15
FP179-1,0.15
FP180-1,0.15
AD396-1,0.15
AD396-2,0.15
AD396-3,0.15
AD397-1,0.15
AD397-2,0.15
AD397-3,0.15
AD398-1,0.16
AD398-2,0.16
AD398-3,0.16
AD399-1,0.15
AD399-2,0.15
AD399-3,0.15
AD400-1,0.16
AD400-2,0.16
AD400-3,0.16
AD401-1,0.15
AD401-2,0.15
AD401-3,0.15
AD402-1,0.15
AD402-2,0.15
AD402-3,0.15
AD403-1,0.15
AD403-2,0.15
AD403-3,0.15
AD404-1,0.15
AD404-2,0.15
AD404-3,0.15
AD405-1,0.15
AD405-2,0.15
AD405-3,0.15
AD457-1,0.15
AD457-2,0.15
AD457-3,0.15
AD458-1,0.15
AD458-2,0.15
AD458-3,0.15
AD459-1,0.15
AD459-2,0.15
AD459-3,0.15
AD460-1,0.15
AD460-2,0.15
AD460-3,0.15
AD461-1,0.16
AD461-2,0.16
AD461-3,0.16
AD462-1,0.15
AD462-2,0.15
AD462-3,0.15
AD463-1,0.15
AD463-2,0.15
AD463-3,0.15
AD464-1,0.15
AD464-2,0.15
AD464-3,0.15
AD309-1,0.15
AD309-2,0.15
AD309-3,0.15
AD310-1,0.15
AD310-2,0.15
AD310-3,0.15
AD311-1,0.16
AD311-2,0.16
AD311-3,0.16
AD312-1,0.15
AD312-2,0.15
AD312-3,0.15
AD313-1,0.16
AD313-2,0.16
AD313-3,0.16
AD314-1,0.16
AD314-2,0.16
AD314-3,0.16
AD315-1,0.16
AD315-2,0.16
AD315-3,0.16
AD316-1,0.15
AD316-2,0.15
AD316-3,0.15
AD317-1,0.15
AD317-2,0.15
AD317-3,0.15
AD318-1,0.15
AD318-2,0.15
AD318-3,0.15
AD319-1,0.15
AD319-2,0.15
AD319-3,0.15
AD320-1,0.16
AD320-2,0.16
AD320-3,0.16
FP134-1,0.16
FP135-1,0.16
FP136-1,0.16
FP137-1,0.16
FP138-1,0.16
FP139-1,0.16
FP140-1,0.16
FP141-1,0.16
FP142-1,0.16
FP143-1,0.16
FP144-1,0.16
FP145-1,0.16
FP154-1,0.16
FP155-1,0.16
FP156-1,0.16
FP157-1,0.16
FP158-1,0.16
FP159-1,0.16
FP160-1,0.16
FP161-1,0.16
FP162-1,0.16
FP163-1,0.16
FP164-1,0.16
FP165-1,0.16
FP166-1,0.16
FP167-1,0.16
FP168-1,0.16
FP169-1,0.16
FP170-1,0.16
FP171-1,0.16
FP172-1,0.16
FP173-1,0.16
FP174-1,0.16
AD600-1,0.1
AD601-1,0.12
AD602-1,0.1
AD603-1,0.1
AD604-1,0.1
AD605-1,0.1
AD606-1,0.1
AD607-1,0.1
AD608-1,0.1
AD609-1,0.1
AD610-1,0.1
AD611-1,0.1
AD612-1,0.1
AD613-1,0.1
AD614-1,0.12
AD615-1,0.1
AD616-1,0.1
AD617-1,0.1
AD618-1,0.1
AD619-1,0.1
AD620-1,0.1
AD621-1,0.1
SL100,0.15
SL101,0.15
SL102,0.15
SL103,0.15
SL104,0.15
SL105,0.15
SL106,0.15
SL107,0.15
SL108,0.15
SL109,0.15
SL110,0.15
SL111,0.15
SL112,0.15
SL113,0.15
SL114,0.15
SL115,0.15
SL116,0.15
SL117,0.15
SL118,0.15
SL119,0.15
SL120,0.15
SL121,0.15
SL122,0.15
SL123,0.15
SL124,0.15