websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Carved,JA100,Bronze,Color Way,JA100-1,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA100-1_Carved_BRONZE.jpg,,6.66,Square Foot,1,1,"Contemporary, Faux Finish",Neutral,Silver Mylar,,,,,,,,26,13,Half-drop,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Carved,JA100,Whitegold,Color Way,JA100-2,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA100-2_Carved_WHITEGOLD.jpg,,6.66,Square Foot,1,1,"Contemporary, Faux Finish",Neutral,Silver Mylar,,,,,,,,26,13,Half-drop,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Carved,JA100,Platinum,Color Way,JA100-3,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA100-3_Carved_PLATINUM.jpg,,6.66,Square Foot,1,1,"Contemporary, Faux Finish",Neutral,Silver Mylar,,,,,,,,26,13,Half-drop,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Carved,JA100,Ash,Color Way,JA100-4,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA100-4_Carved_ASH.jpg,,6.66,Square Foot,1,1,"Contemporary, Faux Finish",Neutral,Sonora,,,,,,,,26,13,Half-drop,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Carved,JA100,Smoke,Color Way,JA100-5,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA100-5_Carved_SMOKE.jpg,,6.66,Square Foot,1,1,"Contemporary, Faux Finish",Neutral,Sonora,,,,,,,,26,13,Half-drop,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Carved,JA100,Bone,Color Way,JA100-6,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA100-6_Carved_BONE.jpg,,6.66,Square Foot,1,1,"Contemporary, Faux Finish",Neutral,White Mylar,,,,,,,,26,13,Half-drop,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Etched,JA101,Bronze,Color Way,JA101-1,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA101-1_Etched_BRONZE.jpg,,6.66,Square Foot,1,1,Painterly,Neutral,Silver Mylar,,,,,,,,13,17,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Etched,JA101,Silver,Color Way,JA101-2,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA101-2_Etched_SILVER.jpg,,6.66,Square Foot,1,1,Painterly,Neutral,Silver Mylar,,,,,,,,13,17,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Etched,JA101,Sand,Color Way,JA101-3,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA101-3_Etched_SAND.jpg,,6.66,Square Foot,1,1,Painterly,Neutral,White Mylar,,,,,,,,13,17,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Etched,JA101,Putty,Color Way,JA101-4,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA101-4_Etched_PUTTY.jpg,,6.66,Square Foot,1,1,Painterly,Neutral,White Mylar,,,,,,,,13,17,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Etched,JA101,Flint,Color Way,JA101-5,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA101-5_Etched_FLINT.jpg,,6.66,Square Foot,1,1,Painterly,Neutral,White Mylar,,,,,,,,13,17,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Etched,JA101,Coal,Color Way,JA101-6,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA101-6_Etched_COAL.jpg,,6.66,Square Foot,1,1,Painterly,Black and White,Topeka,,,,,,,,13,17,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Etched,JA101,Graphite,Color Way,JA101-7,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA101-7_Etched_GRAPHITE.jpg,,6.66,Square Foot,1,1,Painterly,Neutral,Topeka,,,,,,,,13,17,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Etched,JA101,Ground,Color Way,JA101-8,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA101-8_Etched_GROUND.jpg,,6.66,Square Foot,1,1,Painterly,Neutral,Topeka,,,,,,,,13,17,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Etched,JA101,Whitegold,Color Way,JA101-9,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA101-9_Etched_WHITEGOLD.jpg,,6.66,Square Foot,1,1,Painterly,Neutral,Silver Mylar,,,,,,,,13,17,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Fired,JA102,Steel,Color Way,JA102-1,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, bubbles, circles, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA102-1_Fired_STEEL.jpg,,6.66,Square Foot,1,1,Faux Finish,Neutral,Silver Mylar,,,,,,,,5,5,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Fired,JA102,Bronze,Color Way,JA102-2,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, bubbles, circles, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA102-2_Fired_BRONZE.jpg,,6.66,Square Foot,1,1,Faux Finish,Neutral,Silver Mylar,,,,,,,,5,5,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Fired,JA102,Whitegold,Color Way,JA102-3,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, bubbles, circles, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA102-3_Fired_WHITEGOLD.jpg,,6.66,Square Foot,1,1,Faux Finish,Neutral,Silver Mylar,,,,,,,,5,5,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Fired,JA102,Bone,Color Way,JA102-4,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, bubbles, circles, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA102-4_Fired_BONE.jpg,,6.66,Square Foot,1,1,Faux Finish,Neutral,Sonora,,,,,,,,5,5,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Fired,JA102,Taupe,Color Way,JA102-5,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, bubbles, circles, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA102-5_Fired_TAUPE.jpg,,6.66,Square Foot,1,1,Faux Finish,Neutral,Sonora,,,,,,,,5,5,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Fired,JA102,Fog,Color Way,JA102-6,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, bubbles, circles, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA102-6_Fired_FOG.jpg,,6.66,Square Foot,1,1,Faux Finish,Neutral,Sonora,,,,,,,,5,5,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Wired,JA103,Bronze,Color Way,JA103-1,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA103-1_Wired_BRONZE.jpg,,6.66,Square Foot,1,1,"Contemporary, Painterly",Neutral,Silver Mylar,,,,,,,,7,10,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Wired,JA103,Whitegold,Color Way,JA103-2,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA103-2_Wired_WHITEGOLD.jpg,,6.66,Square Foot,1,1,"Contemporary, Painterly",Neutral,Silver Mylar,,,,,,,,7,10,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Wired,JA103,Nickel,Color Way,JA103-3,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA103-3_Wired_NICKEL.jpg,,6.66,Square Foot,1,1,"Contemporary, Painterly",Black and White,Silver Mylar,,,,,,,,7,10,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Wired,JA103,Clay,Color Way,JA103-4,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA103-4_Wired_CLAY.jpg,,6.66,Square Foot,1,1,"Contemporary, Painterly",Neutral,Sonora,,,,,,,,7,10,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Wired,JA103,Stone,Color Way,JA103-5,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA103-5_Wired_STONE.jpg,,6.66,Square Foot,1,1,"Contemporary, Painterly",Neutral,Sonora,,,,,,,,7,10,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Wired,JA103,Coal,Color Way,JA103-6,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA103-6_Wired_COAL.jpg,,6.66,Square Foot,1,1,"Contemporary, Painterly",Neutral,Silver Mylar,,,,,,,,7,10,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Forged,JA104,Bronze,Color Way,JA104-1,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, metal, checkered",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA104-1_Forged_BRONZE.jpg,,6.66,Square Foot,1,1,Faux Finish,Neutral,Silver Mylar,,,,,,,,8.13,7.5,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Forged,JA104,Gold,Color Way,JA104-2,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, metal, checkered",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA104-2_Forged_GOLD.jpg,,6.66,Square Foot,1,1,Faux Finish,"Bronze, Brown",Silver Mylar,,,,,,,,8.13,7.5,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Forged,JA104,Blackened Steel,Color Way,JA104-3,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, metal, checkered",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA104-3_Forged_BLACKENEDSTEEL.jpg,,6.66,Square Foot,1,1,Faux Finish,Neutral,Silver Mylar,,,,,,,,8.13,7.5,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Forged,JA104,Pewter,Color Way,JA104-4,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, metal, checkered",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA104-4_Forged_PEWTER.jpg,,6.66,Square Foot,1,1,Faux Finish,Black and White,Silver Mylar,,,,,,,,8.13,7.5,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Forged,JA104,Platinum,Color Way,JA104-5,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, metal, checkered",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA104-5_Forged_PLATINUM.jpg,,6.66,Square Foot,1,1,Faux Finish,Neutral,Silver Mylar,,,,,,,,8.13,7.5,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Forged,JA104,Silver,Color Way,JA104-6,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, metal, checkered",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA104-6_Forged_SILVER.jpg,,6.66,Square Foot,1,1,Faux Finish,Black and White,Silver Mylar,,,,,,,,8.13,7.5,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Woven,JA105,Bronze,Color Way,JA105-1,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic, weave, woven, braid",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA105-1_Woven_BRONZE.jpg,,6.66,Square Foot,1,1,"Faux Finish, Painterly",Neutral,Silver Mylar,,,,,,,,5.73,6.7,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Woven,JA105,Whitegold,Color Way,JA105-2,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic, weave, woven, braid",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA105-2_Woven_WHITEGOLD.jpg,,6.66,Square Foot,1,1,"Faux Finish, Painterly",Neutral,Silver Mylar,,,,,,,,5.73,6.7,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Woven,JA105,Steel,Color Way,JA105-3,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic, weave, woven, braid",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA105-3_Woven_STEEL.jpg,,6.66,Square Foot,1,1,"Faux Finish, Painterly",Black and White,Silver Mylar,,,,,,,,5.73,6.7,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Woven,JA105,Sisal,Color Way,JA105-4,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic, weave, woven, braid",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA105-4_Woven_SISAL.jpg,,6.66,Square Foot,1,1,"Faux Finish, Painterly",Neutral,White Mylar,,,,,,,,5.73,6.7,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Woven,JA105,Linen,Color Way,JA105-5,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic, weave, woven, braid",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA105-5_Woven_LINEN.jpg,,6.66,Square Foot,1,1,"Faux Finish, Painterly",Neutral,White Mylar,,,,,,,,5.73,6.7,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Woven,JA105,Grass,Color Way,JA105-6,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic, weave, woven, braid",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA105-6_Woven_GRASS.jpg,,6.66,Square Foot,1,1,"Faux Finish, Painterly",Neutral,White Mylar,,,,,,,,5.73,6.7,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Inked,JA106,Coal,Color Way,JA106-1,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA106-1_Inked_COAL.jpg,,6.66,Square Foot,1,1,"Contemporary, Painterly",Black and White,Topeka,,,,,,,,32,32,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Inked,JA106,Parchment,Color Way,JA106-2,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA106-2_Inked_PARCHMENT.jpg,,6.66,Square Foot,1,1,"Contemporary, Painterly",Neutral,Topeka,,,,,,,,32,32,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Inked,JA106,Stone,Color Way,JA106-3,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA106-3_Inked_STONE.jpg,,6.66,Square Foot,1,1,"Contemporary, Painterly",Grey,Topeka,,,,,,,,32,32,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Inked,JA106,Silver,Color Way,JA106-4,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA106-4_Inked_SILVER.jpg,,6.66,Square Foot,1,1,"Contemporary, Painterly",Grey,Silver Mylar,,,,,,,,32,32,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Inked,JA106,Whitegold,Color Way,JA106-5,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA106-5_Inked_WHITEGOLD.jpg,,6.66,Square Foot,1,1,"Contemporary, Painterly",Neutral,Silver Mylar,,,,,,,,32,32,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Inked,JA106,Bronze,Color Way,JA106-6,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA106-6_Inked_BRONZE.jpg,,6.66,Square Foot,1,1,"Contemporary, Painterly",Neutral,Silver Mylar,,,,,,,,32,32,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes